date,baseline,augmented,static,90_10
2023-01-30,1.167606,1.759107,1.156180,1.060151
2023-02-06,1.138015,1.725760,1.122458,1.075768
2023-02-13,1.146895,1.714961,1.141455,1.063333
2023-02-21,1.127836,1.688406,1.122943,1.060137
2023-02-28,1.157186,1.755476,1.104729,1.036244
2023-03-07,1.151479,1.687127,1.135983,1.051745
2023-03-14,1.144480,1.704991,1.100684,1.008600
2023-03-21,1.168549,1.724131,1.083074,1.031858
2023-03-28,1.187533,1.855778,1.109581,1.037907
2023-04-04,1.208102,1.948511,1.160734,1.073922
2023-04-12,1.216126,1.974960,1.166329,1.070243
2023-04-19,1.221915,1.963263,1.169053,1.080387
2023-04-26,1.227724,1.960798,1.144209,1.061803
2023-05-03,1.230137,1.893326,1.126042,1.073128
2023-05-10,1.229662,1.855908,1.139556,1.072477
2023-05-17,1.221574,1.848134,1.121366,1.070230
2023-05-24,1.208717,1.832505,1.129522,1.077639
2023-06-01,1.240816,1.866518,1.102886,1.086234
2023-06-08,1.240373,1.833219,1.132428,1.106217
2023-06-15,1.240972,1.830548,1.131733,1.131307
2023-06-23,1.237332,1.823415,1.128376,1.133674
2023-06-30,1.229441,1.810325,1.127385,1.136891
2023-07-10,1.289529,1.866887,1.139966,1.136132
2023-07-17,1.283810,1.858533,1.171082,1.163327
2023-07-24,1.279850,1.856030,1.178654,1.170658
2023-07-31,1.262738,1.837978,1.201454,1.180942
2023-08-07,1.251258,1.836945,1.193036,1.155689
2023-08-14,1.214255,1.796880,1.187585,1.151538
2023-08-21,1.222132,1.804211,1.163553,1.128472
2023-08-28,1.245049,1.843370,1.168397,1.137177
2023-09-05,1.231262,1.841600,1.204496,1.164010
2023-09-12,1.253781,1.847823,1.205651,1.156677
2023-09-19,1.233374,1.825562,1.220017,1.148399
2023-09-26,1.220469,1.799918,1.199424,1.119343
2023-10-03,1.182608,1.791391,1.177373,1.106794
2023-10-10,1.206321,1.908063,1.172796,1.118654
2023-10-17,1.174654,1.901775,1.187808,1.127297
2023-10-24,1.159158,1.894626,1.176504,1.089068
2023-10-31,1.185545,1.952133,1.162424,1.076938
2023-11-07,1.158097,1.872326,1.178963,1.126036
2023-11-14,1.179626,1.911013,1.166794,1.136981
2023-11-21,1.188132,1.924512,1.186730,1.170870
2023-11-29,1.189150,1.931591,1.188411,1.173301
2023-12-06,1.193613,1.931869,1.167909,1.177282
2023-12-13,1.221920,1.969175,1.154277,1.195486
2023-12-20,1.231915,1.990431,1.201690,1.227191
2023-12-28,1.221522,1.974755,1.209214,1.231273
2024-01-05,1.222149,1.949026,1.188075,1.207849
2024-01-12,1.244677,1.934840,1.192071,1.230044
2024-01-22,1.260777,1.954343,1.194774,1.243409
2024-01-29,1.254149,1.957675,1.222350,1.255685
2024-02-05,1.245487,1.955344,1.199269,1.272628
2024-02-12,1.255315,1.961010,1.224360,1.287976
2024-02-20,1.257803,1.981734,1.233581,1.282272
2024-02-27,1.285017,2.000111,1.239485,1.297738
2024-03-05,1.311759,2.027122,1.257633,1.312933
2024-03-12,1.325298,2.015915,1.266339,1.310631
2024-03-19,1.343616,2.031665,1.285522,1.316782
2024-03-26,1.349615,2.044308,1.291080,1.333889
2024-04-03,1.342274,2.055912,1.314198,1.330349
2024-04-10,1.315401,2.028805,1.325261,1.331305
2024-04-17,1.309328,2.016170,1.304715,1.291602
2024-04-24,1.311086,2.034596,1.300249,1.296642
2024-05-01,1.287996,1.936321,1.287358,1.287897
2024-05-08,1.291226,1.946617,1.294578,1.325766
2024-05-15,1.313817,1.973766,1.305374,1.339988
2024-05-22,1.309358,1.956538,1.322360,1.358188
2024-05-30,1.305091,1.947924,1.304374,1.343980
2024-06-06,1.309673,1.949885,1.294964,1.366941
2024-06-13,1.335881,1.969380,1.314653,1.382798
2024-06-21,1.330320,1.957263,1.336822,1.395801
2024-06-28,1.347324,1.982244,1.334857,1.397965
2024-07-08,1.358101,2.005324,1.360211,1.418435
2024-07-15,1.339363,2.004072,1.367065,1.430683
2024-07-22,1.302720,1.966928,1.337594,1.403910
2024-07-29,1.323838,1.990877,1.324002,1.393298
2024-08-05,1.312231,1.977120,1.305338,1.368991
2024-08-12,1.356790,2.029535,1.319829,1.367498
2024-08-19,1.363755,1.929120,1.349411,1.418208
2024-08-26,1.371535,2.012755,1.358022,1.438110
2024-09-03,1.325259,1.942526,1.349533,1.440767
2024-09-10,1.364824,1.983719,1.308574,1.399822
2024-09-17,1.383141,2.038940,1.338418,1.439227
2024-09-24,1.378694,2.070027,1.356366,1.459005
2024-10-01,1.373703,2.097845,1.355609,1.469309
2024-10-08,1.374514,2.114724,1.399269,1.451814
2024-10-15,1.349034,2.110968,1.387226,1.490700
2024-10-22,1.331035,2.091670,1.367469,1.488850
2024-10-29,1.322114,2.075274,1.355932,1.481072
2024-11-05,1.338915,2.089728,1.364958,1.454327
2024-11-12,1.311590,2.010164,1.348358,1.523285
2024-11-19,1.340353,2.040008,1.340510,1.497099
2024-11-26,1.362525,2.050345,1.348344,1.520543
2024-12-04,1.383873,2.055596,1.362676,1.535795
2024-12-11,1.391049,2.038382,1.359250,1.532344
2024-12-18,1.368901,2.009895,1.360355,1.535150
2024-12-26,1.356586,2.001898,1.352319,1.531556
2025-01-03,1.359675,2.010023,1.360942,1.490693
2025-01-13,1.363323,2.019724,1.375538,1.479678
2025-01-21,1.354180,2.057870,1.403223,1.521344
2025-01-28,1.347379,2.056574,1.391757,1.525653
2025-02-04,1.353441,2.070546,1.395414,1.521425
2025-02-11,1.373585,2.093256,1.414241,1.538948
2025-02-19,1.384670,2.092277,1.426079,1.553802
2025-02-26,1.377039,2.077360,1.402567,1.513708
2025-03-05,1.394079,2.079635,1.388948,1.471928
2025-03-12,1.456967,2.140389,1.371027,1.422200
2025-03-19,1.465329,2.204268,1.398094,1.432368
2025-03-26,1.446303,2.151106,1.414012,1.471146
2025-04-02,1.298863,2.044134,1.420513,1.437731
2025-04-09,1.393823,2.065202,1.268271,1.281478
2025-04-16,1.425419,2.149161,1.355152,1.380284
2025-04-24,1.470824,2.040107,1.376124,1.375122
2025-05-01,1.481619,2.001381,1.372766,1.423011
2025-05-08,1.536900,2.045789,1.386609,1.437238
2025-05-15,1.553913,2.018449,1.412072,1.498285
2025-05-22,1.549991,2.012457,1.420133,1.486624
2025-05-30,1.568106,2.037417,1.424112,1.503867
2025-06-06,1.596092,2.198436,1.447407,1.510627
2025-06-13,1.620688,2.194256,1.487622,1.536369
2025-06-23,1.663499,2.226371,1.512465,1.517781
2025-06-30,1.664475,2.274777,1.478965,1.567690
2025-07-08,1.656634,2.283351,1.500277,1.580741
2025-07-15,1.673792,2.288944,1.499943,1.589818
2025-07-22,1.683875,2.308320,1.510427,1.599112
2025-07-29,1.694004,2.388810,1.515034,1.619094
2025-08-05,1.714932,2.426592,1.510723,1.606241
2025-08-12,1.721683,2.437365,1.504342,1.616293
2025-08-19,1.732933,2.454713,1.511432,1.634179
2025-08-26,1.746330,2.473592,1.527556,1.632235
2025-09-03,1.769419,2.517106,1.541188,1.626802
2025-09-10,1.776988,2.548577,1.548092,1.651279
2025-09-17,1.777968,2.562058,1.578561,1.674167
2025-09-24,1.773801,2.567225,1.583719,1.685755
2025-10-01,1.806816,2.607399,1.587550,1.693049
2025-10-08,1.799824,2.610436,1.601560,1.699493
2025-10-15,1.824524,2.669817,1.585446,1.683452
2025-10-22,1.802408,2.661234,1.591158,1.705727
2025-10-29,1.798398,2.650804,1.609344,1.742883
2025-11-05,1.793269,2.646158,1.594530,1.713671
2025-11-12,1.772059,2.617242,1.628354,1.731883
2025-11-19,1.765798,2.584939,1.597847,1.676801
2025-11-26,1.785891,2.612059,1.596814,1.713228
2025-12-04,1.781442,2.604848,1.619717,1.733003
2025-12-11,1.778061,2.598601,1.627135,1.741358
2025-12-18,1.814699,2.637085,1.608654,1.701838
2025-12-26,1.816652,2.620179,1.653873,1.752440
