,SP500,MSCI_EAFE,MSCI_EM,Gold,Oil_WTI,UST10Y
SP500,1.0,0.884099008318381,0.8249999403802442,0.0545946284677357,0.3667523845460004,-0.3085981660895937
MSCI_EAFE,0.884099008318381,1.0,0.875107644822545,0.15883026604029052,0.3853062987211606,-0.2705483455105912
MSCI_EM,0.8249999403802442,0.875107644822545,1.0,0.17599238642082787,0.384363337940259,-0.27588638282385797
Gold,0.0545946284677357,0.15883026604029052,0.17599238642082787,1.0,0.19128455514181286,0.2115300690522218
Oil_WTI,0.3667523845460004,0.3853062987211606,0.384363337940259,0.19128455514181286,1.0,-0.2135771434608314
UST10Y,-0.3085981660895937,-0.2705483455105912,-0.27588638282385797,0.2115300690522218,-0.2135771434608314,1.0
